"Name","Species","Colony","Nesting","sum_move_sec","sum_pause_sec","mean_move_sec","mean_pause_sec","sum_steps_move","sum_steps_pause","sum_steps_move_norm","sum_steps_pause_norm","mean_speed_move","mean_speed_move_norm","Traveled.dis","Traveled.dis.bl","mean_speed","mean_speed_norm"
"ns2_2","Neo_sugioi","ns2","OP",508.4,2788.6,2.88863636363636,15.8443181818182,2166.12825435746,904.836018847728,245.101426527196,102.38387249076,4.26067713288249,0.482103514018875,3070.96427320518,347.485299017957,6.04044900315733,0.683487999641929
"ns2_3","Neo_sugioi","ns2","OP",1871.8,1606.4,2.05241228070175,1.75947426067908,8292.1087234038,912.333972722309,995.98758064722,109.582898216144,4.43001855080874,0.532101496232087,9204.44269612611,1105.57047886336,4.91742851593445,0.590645623925293
"ns2_4","Neo_sugioi","ns2","OP",1963.6,1470,0.993724696356275,0.744303797468355,6651.28914128222,1102.84128759802,686.707619615873,113.862064831922,3.38729330886241,0.349718689965305,7754.13042888024,800.569684447795,3.94893584685284,0.407705074581277
"ns2_5","Neo_sugioi","ns2","OP",2393.2,1180.2,2.04897260273973,1.01131105398458,9062.40897343788,853.93430273182,903.379366923918,85.123793470098,3.7867328152423,0.377477589388233,9916.3432761697,988.503160394016,4.14354975604617,0.413046615574969
"ns3_1","Neo_sugioi","ns3","OP",2088.8,1452.8,3.04934306569343,2.12397660818713,10016.861509481,785.106670623407,1037.64558146582,81.3291136131447,4.79551010603265,0.496766364164026,10801.9681801044,1118.97469507896,5.17137503834949,0.535702171140828
"ns3_3","Neo_sugioi","ns3","OP",2488.8,1060,3.64392386530015,1.55197657393851,10422.7286576179,567.295747753196,1283.98045869421,69.8854089310902,4.18785304468738,0.515903430847881,10990.0244053711,1353.8658676253,4.41579251260492,0.543983392649187
"ns3_4","Neo_sugioi","ns3","OP",2154,1360.8,1.86171132238548,1.1761452031115,7962.30841801017,734.927556385825,986.876195275477,91.0894771431623,3.6965220139323,0.458159793535505,8697.23597439599,1077.96567241864,4.03771400854039,0.500448315886091
"ns3_5","Neo_sugioi","ns3","OP",3041.4,517.8,5.98700787401575,1.02130177514793,17387.1989414128,275.220946993258,2056.04210209509,32.544969221514,5.71684058046057,0.676018314623228,17662.419888406,2088.5870713166,5.80733211297627,0.686718968671204
"ns3_7","Neo_sugioi","ns3","OP",2308.8,1252,3.23361344537815,1.75596072931276,10255.5877897742,700.670372537822,1178.54351032526,80.5190826073377,4.44195590340186,0.510457168366797,10956.258162312,1259.0625929326,4.74543406198547,0.545332030895963
"ns4_1","Neo_sugioi","ns4","OP",3451,141.6,14.875,0.612987012987013,25743.8629002465,107.181439189491,3047.98947550945,12.6899331264072,7.45982697775905,0.883219204726006,25851.044339436,3060.67940863585,7.49088505923964,0.88689638036391
"ns4_3","Neo_sugioi","ns4","OP",3386.8,181.2,8.02559241706161,0.430403800475059,14886.8122070766,160.964639612562,1606.61182569148,17.3715964118079,4.39553921314414,0.474374579453016,15047.7768466891,1623.98342210328,4.44306627101959,0.479503785905068
"ns4_4","Neo_sugioi","ns4","OP",3053,521.6,4.07066666666667,0.696395193591455,16703.6639565598,423.872894887872,1803.34639862913,45.7617957629206,5.47122959599076,0.590680117467779,17127.5368514477,1849.10819439205,5.61006775350398,0.605669241530314
"ns4_5","Neo_sugioi","ns4","OP",3497.8,63,22.2789808917197,0.403846153846154,18538.2687439916,55.0119718217007,1925.74132636107,5.71460199680164,5.29997962833541,0.550557872480151,18593.2807158133,1931.45592835787,5.31570722048525,0.552191642849183
"ns4_7","Neo_sugioi","ns4","OP",2381.8,1198.4,2.98097622027534,1.49987484355444,9577.36861002709,619.687035988172,939.626866414252,60.7969277880238,4.02106331767029,0.394502840882632,10197.0556460153,1000.42379420228,4.28123925015335,0.420028463431974
"ns5_1","Neo_sugioi","ns5","OP",3402.4,180.8,7.7503416856492,0.412785388127854,23921.1408732931,169.272725962132,2442.38523213377,17.2830053667932,7.03066684496034,0.717841885767039,24090.4135992552,2459.66823750057,7.08041782249447,0.722921537003459
"ns5_2","Neo_sugioi","ns5","OP",2990.2,586,3.91387434554974,0.767015706806283,15898.8217799955,449.19588496169,1862.31671711105,52.6167924515148,5.31697604842336,0.622806741057805,16348.0176649572,1914.93350956256,5.46719873752833,0.640403153488918
"ns5_3","Neo_sugioi","ns5","OP",3117.8,465,7.38815165876777,1.10451306413302,19061.7962861594,308.815616055716,2016.84958245169,32.6744991367245,6.11386114765519,0.646882283164953,19370.6119022151,2049.52408158841,6.21291035416482,0.657362268775551
"ns5_5","Neo_sugioi","ns5","OP",3191.4,368.2,5.32787979966611,0.61571906354515,17122.929308298,306.215749776271,1987.75695298162,35.5478011250847,5.36533474597292,0.622847951676887,17429.1450580742,2023.3047541067,5.46128503417756,0.633986574577522
"ns5_7","Neo_sugioi","ns5","OP",3154.2,370.2,5.54340949033392,0.651760563380282,16233.8588273347,293.292818139002,1825.44720664427,32.9798701156112,5.14674365206223,0.578735402524973,16527.1516454737,1858.42707675988,5.23972850341566,0.589191261416486
"of10_2","Odo_formosanus","of10","CP",3557.2,42,37.0541666666667,0.442105263157895,66088.5964471829,102.432170163169,16779.419351345,26.0067913472748,18.5788250441873,4.71703006616018,66191.0286173461,16805.4261426923,18.6076207740206,4.72434109487582
"of10_3","Odo_formosanus","of10","CP",3425,165.8,8.02107728337237,0.389201877934272,44804.8823559842,364.612852136621,10532.6482384852,85.7125097277026,13.0817174761998,3.07522576306138,45169.4952081208,10618.3607482129,13.1881737833929,3.10025131334684
