"Species","Nesting","Name","Colony","mean_speed_all","sd_speed_all","mean_speed_norm_all","sd_speed_norm_all"
"Odo_formosanus","CP","of8_7","of8",18.2012557968909,4.79080000666045,4.92046700708185,1.29512895337293
"Odo_formosanus","CP","of8_8","of8",9.13535425453697,4.39438319115016,2.43942078016027,1.17343557499753
"Odo_formosanus","CP","of9_3","of9",12.9551809954496,4.84460935923331,3.60154600704919,1.34680352976839
"Odo_formosanus","CP","of9_4","of9",15.2538572231841,4.41857080551119,3.71362395712458,1.07572203931855
"Odo_formosanus","CP","of9_5","of9",12.1515216720004,4.59959739393663,3.39823588827322,1.28630120223538
"Odo_formosanus","CP","of9_7","of9",10.2317193657289,4.56393168292399,2.68728524435059,1.19868282439665
"Odo_formosanus","CP","of9_8","of9",3.59028026403297,4.13443044462562,0.917840889364918,1.05695072173834
"Zoo_nevadensis","OP","zn444_2","zn444",2.51047569619874,3.22270989027244,0.225614570023969,0.289622523455112
"Zoo_nevadensis","OP","zn444_4","zn444",13.5158284682607,7.42769235007022,1.24788916286245,0.685783843032282
"Zoo_nevadensis","OP","zn444_5","zn444",8.74071212230355,3.10401002282988,0.79186253712514,0.281206979196583
"Zoo_nevadensis","OP","zn444_7","zn444",9.45044716348596,7.41900481708223,0.864840265007951,0.67893656047212
"Zoo_nevadensis","OP","zn444_9","zn444",5.71806539336367,4.10579729711119,0.543073717675172,0.389948426394472
"Zoo_nevadensis","OP","zn445_2","zn445",13.5303075793272,6.97805113835421,1.12296510949897,0.579152241346236
"Zoo_nevadensis","OP","zn445_4","zn445",8.02118207813893,3.8978636769976,0.720471566036514,0.350110484989126
"Zoo_nevadensis","OP","zn445_5","zn445",16.4753130105801,5.47952815757603,1.46876268402407,0.488496120148885
"Zoo_nevadensis","OP","zn445_7","zn445",18.7882267286453,6.55237846820792,1.5449278238073,0.538792295507931
"Zoo_nevadensis","OP","zn445_8","zn445",11.8542821529102,6.9229344961236,1.04001932854532,0.607374246145654
